text,ideology,factuality,data_source
"NYPD Commissioner Dermot Shea on Monday expressed support for diverting funds away from the police department and to other areas, like youth programs.",3,0,babe
"School systems across the country are adopting BLM curriculum at at alarming rate, indoctrinating our children to achieve Marxist objectives.",1,2,babe
"And then along came President Barry Obama, who spent trillions of dollars on - what the hell did he spend all that money on?",1,2,babe
"The curfews, which have never before occurred on an Election Day in recent times, were a response to looting that occurred after generally peaceful protests against police violence and racism. However, the curfews also come in a climate where the Republican Party, led by President Trump, has been repeatedly making false claims that voting by mail is rife with fraud",3,0,babe
"Rather than help be a part of the solution, Trump is intentionally exacerbating the tensions-not only because he himself is a racist whose politics of authoritarian white grievance align with the same forces driving police violence itself, but because he is desperate and in grave political peril.",4,2,babe
The Times reported that Bill Gates had met in with Epstein multiple times ,2,0,babe
"The success of the Trump administration's Operation Warp Speed stands as one of the greatest achievements of the Trump presidency, or any presidency.",0,2,babe
"The Trump administration is proposing tariffs on up to $2.4 billion worth of French imports - including Roquefort cheese, handbags, lipstick and sparkling wine - in retaliation for France's tax on American tech giants like Google, Amazon and Facebook.",2,0,babe
"Rep. Al Green (D-TX) at a hearing on Wednesday perpetuated the hoax that President Trump called white nationalists at a rally in Charlottesville, Virginia in 2017 ""very fine people.""",1,1,babe
"The British government will attempt to mitigate the economic, social, and business impacts of the coronavirus outbreak with a combination of tax cuts and new spending, the chancellor announced Wednesday, the first of the new Boris Johnson government.",2,0,babe
"They repeat this mantra even though it flatly contradicts another of their favorite talking points - namely, that the Border Patrol has experienced record numbers of encounters with would-be crossers.""",3,1,babe
"President Donald Trump announced Friday that Sudan has agreed to begin normalizing relations with Israel, just days after his administration said it would take the North African country off the U.S. list of state sponsors of terrorism.",2,0,babe
"But if there is one thing we have learned about Trump in the last four years, it's that he's a human earthworm: Every time he gets cut in half, he grows another tail using lies, cheating, and thievery.",4,2,babe
"China's Communist party government demonstrated its sensitivity about Covid's origin, with state-run media outlet the Global Times issuing a warning to Elon Musk not to risk his relationship with China, after he sent tweets discussing the Department of Energy report on the lab leak theory.",2,0,babe
"As Congress begins debating the Equality Act, the Heritage Foundation warns that if the bill becomes law it will prove the death knell for women's sports.",1,1,babe
Leaders from the United Methodist Church reportedly announced a tentative plan Friday to split the church over differences on same-sex marriage and the inclusion of gay clergy.,2,0,babe
Biden rejects Trump claim that COVID-19 vaccine is imminent,2,0,babe
President Donald Trump on Monday held a White House meeting to discuss the possible development of a COVID-19 vaccine with representatives of the nation's top pharmaceutical and biotech companies.,2,0,babe
Pompeo appeared hopelessly lost when WSMV's Nancy Amon was far better prepared for an interview than he was.,3,2,babe
"While the workaday majority of Americans continue to be mired in our low-wage economy, the precious few at the tippy top soared out of sight in 2019.",4,1,babe
Several medical and advocacy groups have insisted abortion services should be considered as essential health care during the Chinese coronavirus pandemic and not subject to delays or a reduction of availability that will affect other health services.,3,1,babe
"Former Secretary of the Navy Richard V. Spencer on Friday endorsed Democratic presidential candidate Michael Bloomberg, making him the first high-level former Trump administration official to back a Democratic hopeful in the 2020 election.",2,0,babe
"First Joe Biden said he still supported the Hyde Amendment, which prohibits taxpayer funding of most abortions, , then changed his position one day later, after tremendous political pressure from farther-left Democrats.",1,0,babe
Floyd's funeral service took place at the Fountain of Praise Church in Houston.,2,0,babe
"More recently, a case this year was won against the Syrian regime of Bashar al-Assad, regarding the president's direct involvement in the targeted killing of American journalist Marie Colvin amid the vicious civil war and dissident crackdown in 2012.",2,0,babe
Hollywood celebrities began tweeting that they hope the incident will finally motivate Congress to pass more intensive gun control measures.,3,0,babe
"There's good evidence for its effectiveness; studies have shown, for example, that taking a 50-minute walk in the woods improves the cognitive powers of people with depression and reduces blood pressure in stressed-out students.",2,0,babe
Germany tries to stop Trump from luring away firm working on coronavirus vaccine.,3,1,babe
"As much as our society tries, we cannot cleanly separate the physical from the metaphysical during reproduction.",1,2,babe
On Sunday nights and early Monday mornings the online LGBTQ chatter is focused on whether the Supreme Court will issue-at 10 a.m. on that Monday morning-its long-awaited decision about whether it is OK to fire someone because they are LGBTQ.,3,0,babe
"Although he didn't seem to direct his comments at anyone in particular, many celebrities that consider themselves climate change activists have not adjusted their lifestyles of taking private jets to their engagements around the globe, for example, Leonardo DiCaprio, Katy Perry and Orlando Bloom all took heat in 2019 when they were among the A-listers to attend Google's climate change conference by way of private jets and mega yachts.",1,1,babe
The El Paso attack has also put new pressure on a man some white nationalists praise as helping advance their movement: Donald Trump.,3,1,babe
"This kind of over-the-top misogyny is, not surprisingly, being accompanied by an absolute barrage of violent fantasies from the gun lovers who plan to descend on Richmond on Monday.",4,2,babe
"The demonstrators stopped in the center of town and took a knee to honor George Floyd, who was killed in the custody of police in Minneapolis, Minnesota, on Memorial Day.",3,0,babe
"Those survivors had to expend more effort to concentrate on simple tasks, a symptom consistent with PTSD.",2,0,babe
"Next came the sob stories. Those student loans are suffocating a generation, the candidates suggested. After all, ""40 million of us who can't start a family,"" the diaper-changing daddy Swalwell contradictorily proclaimed, adding that they ""Can't take a good idea and start a business and can't buy our first home.""",0,2,babe
"Protesters in New Zealand's Auckland city sat on the road after their peaceful march as they raised clenched fists in a sign of unity, solidarity and Black Power.",3,0,babe
"Senior White House officials are discussing the possibility of a temporary payroll tax cut in an effort to boost the economy in the face of a potential slowdown, the Washington Post reported on Monday, citing three people familiar with the discussions.",2,0,babe
"How do we deal with the false perception that liberals are more inclined to trust science than conservatives? Or, how do we approach the media's fondness for focusing on the unscientific views of some conservatives but ignoring the irrational-and oftentimes, more consequential-beliefs of their fellow liberals?",0,2,babe
"The Republican Party, unsurprisingly, has taken the position that President Trump should be defended.",3,1,babe
It matters that figures like Marsha Blackburn are trying to smear a decorated American war hero. It also matters why she's engaged in such a toxic scheme.,4,2,babe
"In Spain, hundreds of thousands of women, wearing purple and raising their fists, took to the streets of cities around the country calling for greater gender equality.",3,0,babe
"But she couldn't shake criticism that she was an outsider compared to Leger Fernandez, who has served as counsel to several Native American tribes in the northern New Mexico district and had the backing of the Congressional Hispanic Caucus.",2,0,babe
"For one thing, his plan would slash subsidized student loan repayment plans, and let the government crack down on missed payments. To left-wing politicians who think the state should hand out more subsidies, this might as well have been Armageddon.",1,1,babe
"""Orange Is the New Black"" star Yael Stone is renouncing her U.S. green card to return to her native Australia in order to fight climate change.",3,0,babe
Disney's executives stopped advertising on Tucker Carlson's television show as he repeatedly urged President Donald Trump to shut down their pipeline of H-1B visa workers into the white collar jobs that would otherwise go to Americans.,1,0,babe
"In an apparent attempt to blame sexism for the blowback the Rashida Tlaib received for her ""Impeach the Motherf*cker"" remark, Pelosi wondered aloud what the response would have been if a man made the same comment. ",0,1,babe
Man asking white woman to kneel and apologize is not a representative of Black Lives Matter,2,0,babe
"A vaccine is not a requirement for holding next year's postponed Olympics and Paralympics, the CEO of the Tokyo Games said Friday.",2,0,babe
The moment was yet another headache for Biden as he struggles to appeal to gun owners. ,1,1,babe
Protesters also burned smaller American flags on the embers of the larger one a day after demonstrators defaced and attempted to pull down an Andrew Jackson statue in Lafayette Park.,3,1,babe
"The dynamic exposes two underappreciated realities of Trump's Iran obsession: Any U.S. war on Iran will ignite war in Iraq, and U.S. credibility is visibly faltering across the region. ",4,2,babe
"Meanwhile, Thunberg first made headlines when her Fridays for Future campaign went global in the last few months. At a U.N. climate conference in September, she repeatedly scolded world leaders, asking, ""How dare you?""",1,0,babe
"Beto O'Rourke defends Ilhan Omar, assails Trump as 'racist' as his celebrity status wanes",3,1,babe
"It's only a matter of time, the argument goes, before the Roe v. Wade precedent is struck down at the hands of five conservative justices, two of whom are on the high court thanks to Trump.",3,2,babe
"A report by the United Nations (UN) falsely blamed President Trump for the detention of 100,000 migrant children who, in fact, were held in federal immigration custody in 2015 by President Obama.",1,0,babe
Hate is the GOP brand under Trump and sadly it's working to attract like-minded people to its ranks.,4,2,babe
"In a series of early morning tweets on July 26, 2017, that reportedly took the Department of Defense by surprise, President Donald Trump announced that he was reinstating the repealed ban on transgender military service.",2,0,babe
"The Turkmen government also published photos of contact sporting events such as wrestling and martial arts, which most of the world has canceled to prevent the spread of the deadly pathogen originating in central Wuhan, China.",3,1,babe
"Some party leaders, including House Speaker Nancy Pelosi, have warned that the focus on Medicare for All could cost Democrats with swing voters next year.",2,0,babe
"Visiting West Indies skipper Jason Holder has said it would be a team decision for them whether to protest the death of George Floyd, an unarmed black man who died in Minneapolis last month after a white police officer knelt on his neck for almost nine minutes.",2,0,babe
"Prosecutors have said the gunman targeted a Tops Friendly Markets supermarket in a Black neighborhood of Buffalo, about 200 miles (320 km) from his home in Conklin, New York, intending to kill as many Black people as he could with an assault weapon.",2,0,babe
"At what point did we decide George Washington and Abraham Lincoln were moral monsters, or that all police are racist thugs?",1,2,babe
Activists' frustration has only compounded since Chief Executive Mark Zuckerberg's decision last month to allow two posts by President Trump that many Facebook employees and outside advocates believe broke the company's content rules.,3,1,babe
"Republicans should stop fighting amnesty, President Obama said on Thursday, because one day a Hispanic will become president.",3,0,babe
"Conservative Christians exploded on social media, citing the controversy as further proof that their faith is under attack by intolerant liberals and coastal elites who care little about human life.",1,2,babe
"Many monuments of historical figures have been boarded up as anti-racism protesters taking to the streets following the death of African-American George Floyd, have put statues at the forefront of their challenge to Britain's imperialist past.",3,0,babe
"The odds of giving birth prematurely was also higher in pregnant and recently pregnant women with COVID-19, compared to those without the disease.",2,0,babe
"It would take a year to 18 months to fully validate any potential vaccine, the AP added, citing public health officials.",2,0,babe
"The Trump administration may no longer enforce a rule requiring individual Americans to carry health insurance or pay a penalty if they do not, a senior White House official said on Sunday",2,0,babe
"It's just that, instead of having the chance to grow up in a loving family, the child's lifeless body is discarded into a bucket of medical waste.",0,2,babe
"Instagram will start blocking any hashtags spreading misinformation about vaccines, becoming the latest internet platform to crack down on bad health information.",2,0,babe
Edwards' allies are pushing a narrative that supporting Rispone is akin to being a racist like infamous white supremacist David Duke.,1,1,babe
Privacy advocates on Monday raised concerns over reports that Indian security forces used facial recognition technology to identify dissidents at a political rally in December and warned that if left unchecked the government would continue to suppress dissent.,2,0,babe
"Equally important, he notes, is that it is difficult for incumbents to distance themselves from Trump over fears he will turn his base against them - meaning they are in a trap of their own making.",3,1,babe
"Veteran conservative columnist and former Nancy Reagan speechwriter Mona Charen, in a scathing article published by The Bulwark on December 27, lambasts Abbott for his ""cruelty.""",2,1,babe
"Since Ocasio-Cortez first mentioned the 70 percent tax rate on CNN, a number of mansplaining journalists have written harrumphing pieces explaining that the ""real"" problem is tax loopholes or capital-gains tax rates set too low.",4,2,babe
"The current travel ban, which the administration re-worked during a series of court challenges, indefinitely suspends the issuance of immigrant and non-immigrant visas to applicants from Libya, Iran, Somalia, Syria, Yemen, North Korea and Venezuela.",2,0,babe
"The spectacular rise of human civilization that took place during the last 10,000 years now appears to be coming to an end with the refusal of our species to significantly curb the carbon emissions and pollutants that might cause human extinction.",4,1,babe
"The head of the Communist Party's special panel to address the coronavirus crisis, Zhong Nanshan, was quoted in state propaganda outlet Xinhua saying that the government believed the outbreak would peak within 7-10 days, then start subsiding.",2,0,babe
"A Supreme Court filing lays bare the deep chasm between prominent Republicans who believe in the rule of law and wannabe president for life Donald Trump, whose says he enjoys absolute immunity from any inquiry into his conduct.",4,1,babe
And if Bezos imagines that this act of blatant greenwashing will do anything either to save the planet or make the world a better place than he is living in cloud cuckoo land.,4,2,babe
Biden said he would seek Muslims to serve in his administration.,2,0,babe
"The First Amendment is also not a priority for the right, for all its whimpering about ""freedom of speech.""",4,2,babe
"New York Attorney General Letitia James said in her complaint, filed in Manhattan federal court earlier this month, that ""PHEAA's abuses have not only denied these dedicated public servants the benefits they have earned, but have undermined the goals of the loan forgiveness program.""",2,0,babe
They'd be standing aside and waving them on in.,2,1,babe
"Even the European Union (with the Maastricht Treaty in 1993) has adopted the radical economic and political ideologies of Thatcherism and Reaganism-neoliberalism-that benefitted wealthy elites while forcing austerity on its poorer member nations, inflicting massive pain and inciting right-wing movements in Greece, Spain and Italy, among others.",4,1,babe
"This would make for a much better ""feminist"" movie than that stupid flop about Ruth Bader Ginsberg.",1,2,babe
Health and Human Services (HHS) Secretary Alex Azar announced during a White House press conference on Friday that the Trump administration will end surprise billing for Americans without health insurance.,2,0,babe
"Trump regularly uses Twitter to attack his political enemies, including the late Sen. John McCain, deride media outlets like CNN and he has retweeted unverified anti-Muslim videos.",3,2,babe
"The Affordable Care Act's (ACA) ""risk adjustment"" program is intended to incentivize health insurers to cover individuals with pre-existing and chronic conditions by collecting money from insurers with relatively healthy enrollees to offset the costs of other insurers with sicker ones.",2,0,babe
"Once powerful Hollywood producer Harvey Weinstein was charged in Los Angeles on Monday on sex crime charges just hours after he appeared in a New York court for the start of his rape trial, which has become a focal point for the #MeToo movement.",2,0,babe
The player vote ending Thursday at midnight-a simple majority vote will determine the outcome of the NFL CBA-is a monumental referendum for the next decade of the NFL.,2,0,babe
"Over four years later, she and her daughter are coping with the lingering trauma from the wildfire's apocalyptic smog, heat, and destruction.",2,0,babe
"For our friends on the Left, Trump's refusal to wear a mask is irresponsible toxic masculinity that is sending the wrong message and getting people killed, even though Dr. Deborah Brix has explained it's not much of a risk. Biden, meanwhile, to their minds is leading by example by wearing his mask even when there is no good reason he should.",0,2,babe
"But rather than appreciate the fact that Asian-American women are considered highly attractive, Lim sees only a sneaking racial bias, a reflection of our upside-down cultural world where victimhood and oppression carry more social currency than even beauty and success.",1,2,babe
"The Republican-led Legislature and GOP Gov. Bill Lee have dismissed the idea of offering absentee ballots to all voters, with lawmakers voting against Democratic expansion proposals more than once this week as they meet during pandemic times.",3,0,babe
"He has been critical of illegal aliens, but not immigrants in general. Weaver nonetheless implies Trump is somehow responsible.",1,1,babe
"People were tear-gassed, manhandled, shoved, battered with clubs and slammed with shields on Monday to clear the way for Trump to cross the street from the White House for a photo op at St. John's Episcopal Church. The onslaught against the protesters began 25 minutes before a 7 p.m. curfew. ",4,1,babe
"George Floyd would be pleased with the strong U.S. jobs data released Friday, President Donald Trump said, invoking the memory of the black man who died in police custody and looking past African American unemployment at the highest in more than a decade.",4,1,babe
"Anti-vaxxers were a source of misinformation long before the coronavirus pandemic, but the medical emergency appears to be bringing more of them out of the woodwork.",3,1,babe
"The president has called for a tough response to the protests in order to ""dominate the streets"" and has threatened to call in active-duty troops to quell unrest in cities where local authorities were unable to do so. ",1,1,babe
Here's why the fear of medical bankruptcy could make the spread of coronavirus even worse in the US,3,1,babe
"U.S. Senator Amy Klobuchar on Monday will become the third 2020 Democratic presidential candidate in as many days to leave the race, her campaign confirmed, and she and fellow moderate Pete Buttigieg plan to endorse former Vice President Joe Biden.",2,0,babe
"However, while some are celebrating the changes as a victory, others have expressed doubt as to how meaningful the changes really are.",2,1,babe
"Trump may not be much of a stable genius, but he doesn't need to be the brightest bulb on the KKK Christmas tree to be a racist troll.",4,2,babe
"Matters worsened for him when COVID-19 hit the United States and exposed him not just as a divisive buffoon, but a cynically incompetent one. The Administration delayed its response, worried that any action they took would hurt the stock market and erode Trump's last remaining electoral strength.",4,2,babe
A Trump-loving white security guard with a racist past shot and killed an unarmed Black man during an unprovoked hotel parking lot attack.,4,1,babe
A report in The New York Times claims that the UFC star Conor McGregor sexually assaulted a woman in Ireland.,2,0,babe
"According to a Washington Post analysis updated on Monday, half of people killed by police are white, but Black Americans are shot at a disproportionate rate. ",2,0,babe
"Several dozen demonstrators, many armed and carrying Confederate battle flags, staged a rally in the Atlanta suburb of Stone Mountain next to a park famed for its giant monument to leaders of the breakaway slave-holding states.",2,0,babe
"The same goes for Govs. Gavin Newsom, Andrew Cuomo, Jay Inslee, and every other Wuhan virus Karen issuing diktats from on high.",0,2,babe
"The Republican president proceeded to pitch an aggressively anti-immigrant message ahead of Election Day 2018, when voters handed Democrats control of the House.",3,1,babe
"Nearly a third of students polled planned to use some of their student loan money to pay for their spring break trips, while 23 percent said they had used loans to purchase alcohol, and 6 percent said they used the money for drugs.",2,0,babe
It will be a media and corporate blitzkrieg. The same machinery currently pushing Black Lives Matter ideology will be easily repurposed for the gun control blitz. ,0,2,babe
"As a result, income inequality now rivals that of the robber baron days of the early 1900s, when labor unions were virtually outlawed while corporate monopolies thrived.",3,1,babe
"Then the tenor changed. What started as irony turned into an actual belief that white people, specifically white men, are more dangerous and immoral than any other people.",0,2,babe
"Gendron's defense attorney, Brian Parker, told a news conference that his client was remorseful.",2,0,babe
"More subtly, however, Pelosi is also using her gender to put Trump - who is visibly unnerved by having any woman around that isn't clearly there to serve him, sexually or otherwise - on his heels. ",4,2,babe
"Alex Berenson, a former reporter at the New York Times who has written extensively debunking fearmongering claims related to the lockdowns wrote on Twitter Thursday that the tech giant to benefit the most from pandemic stay-home orders is refused to sell his latest book.",1,0,babe
"For some years now, conservative and libertarian education policy experts have warned against voucher systems in favor, instead, of tax-credit scholarships and education savings accounts, which are less likely to drag the regulations and mandates of government schools into the private arena.",2,1,babe
Elizabeth Banks pointed out that knowing what other women and men are making in Hollywood is essential to making pay equitable across gender lines. ,3,1,babe
"Last month, the prestigious Scientific American magazine announced that for the first time in its 175-year history, it would endorse Joe Biden, the Democrat nominee, for the 2020 U.S. presidential election.",3,0,babe
"Human rights defenders have said security forces were deployed to enforce lockdowns mainly in poor black areas like high density townships, where higher population numbers and overcrowding made it impossible to properly isolate.",3,1,babe
"As part of his plan to protect the commonwealth of Virginia from the spread of the Wuhan coronavirus, Gov. Ralph Northam determined that citizens should not be allowed to attend church or worship services, but are fine travel to an abortion clinic and undergo an elective procedure like surgical abortion.",0,2,babe
"She credited women for mobilizing against gun violence, creating the #MeToo movement against sexual harassment and discrimination, and taking back the Democratic majority in the House of Representatives.",4,0,babe
The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.,1,1,babe
"Chicago Police Superintendent David Brown described the 20-year-old as an armed male who allegedly pointed a gun at officers and ""shot at officers first.""",2,0,babe
"Though the author reserved much of his political bile for Democrats, he also attacked Republicans and espoused some left-wing views, claiming that ""our lifestyle is destroying the environment of our country.""",2,1,babe
The intersectionality-obsessed media claims Buttigieg doesn't have enough diversity points to run for president.,0,1,babe
"Sen. Tom Cotton (R-AR) says it ""makes absolutely no sense"" to continue current legal immigration levels when millions of Americans remain jobless due to the Chinese coronavirus crisis.",0,1,babe
"This is what Breitbart News has reported, based on publicly available data ignored by the anti-tariff crowd for over a year. ",1,1,babe
"Dogging Bloomberg's campaign are allegations that he made inappropriate comments toward women and that his company, Bloomberg LP, fostered a hostile environment for female employees.",2,0,babe
"Even if Trump is ""unraveling"" as Never Trumpers are wont to claim, his supporters won't disappear on November 4th. George Will and the leftists many Never Trumpers now ally themselves with must reconcile their perception of the American people with reality.",1,2,babe
Democrats blocked a coronavirus package on Sunday that would provide economic relief to businesses and Americans suffering from the impact of the coronavirus outbreak,1,1,babe
This argument that the real way to end abortion is to make abortion unnecessary by establishing a generous cradle-to-grave welfare state is also an extension of the dishonest taunt that conservative Christians only care about babies before they're born.,3,2,babe
"And in return for the value you have created, the employment you have provided and the tax revenue you have generated, all you get is a bunch of chippy socialists and whiny Remoaners accusing you of being selfish, greedy, and unpatriotic.",0,2,babe
"The New York Times devoted its entire ""Sunday Review"" section this weekend to an economic manifesto that lays out a radical left-wing vision for redesigning the American economy in the wake of the coronavirus pandemic.",1,1,babe
"But there's also an intensifying global climate crisis, which carries life-changing risks for billions of people.",3,0,babe
"If the Massachusetts Democrat's proposal were to become law, it would almost certainly face a court challenge - thanks to the fact that it's a tax on wealth, as opposed to a tax on income.",2,0,babe
"After Steve King's offensive implication that white people own Western civilization, Chris Hayes predictably responded with an idiotic remark about Western civilization giving us Hitler.",1,2,babe
"They are, she believes, the Founding Fathers' insurance policy against tyranny - the safeguard for every other right spelled out in the U.S. Constitution",2,0,babe
Chernobyl is basically a more benign version of the Republican Party.,4,2,babe
Trump claims the WHO is in need of reform and is heavily influenced by China.,1,0,babe
"Lesbian, gay, bisexual and transgender (LGBT) people have long suffered discrimination in Muslim-majority Malaysia.",2,0,babe
"Buttigieg, who competed with Biden for the nomination before dropping out and endorsing him, would be the first openly gay Cabinet secretary confirmed by the Senate.",3,0,babe
"Surrogacy has  created an avenue to biological parenthood for thousands  who can't conceive or carry children on their own, such as same-sex couples and single men,"" the paper cheered in another article.",3,0,babe
The U.S. House of Representatives on Tuesday approved a $1.4 trillion spending package to avert a partial government shutdown that also would raise the U.S. tobacco purchasing age to 21 and permanently repeal several of the Affordable Care Act's (ACA) taxes.,2,0,babe
"Wray's high-profile public comment highlights the divide within the US intelligence community about the origins of the pandemic, with some federal agencies, including the FBI and the Department of Energy, concluding that the Covid-19 virus probably originated from a lab leak in China, while others have concluded that it first spread from infected animals to humans.",2,0,babe
"Spencer speculated that the media may be ""soulless golem,"" a reference to magically animated beings from Jewish folklore.",2,0,babe
"When a child is molded to believe that sex is expected at their age, defined as recreational, erotic, lustful, and material, then what stops them from recognizing the deceitful approach of a sex trafficker and abuser?  Nothing.",1,2,babe
"China's economy has been slowing since last year as the trade war with the United States took a toll on factory activity, exports and domestic demand, suggesting that a spate of stimulus measures - including tax cuts and easier lending rules - have yet to have a notable effect on overall growth.",2,0,babe
"According to Lauren Copeland (a political science professor at Baldwin Wallace University in Ohio and another person who worked on the Great Lakes Poll), public support for Obamacare has continued to grow.",3,0,babe
"The documents, which were published in full on NRA Watch, a new database launched by the advocacy group Everytown for Gun Safety, allege that LaPierre has grown ""preoccupied with going to jail."" ",3,0,babe
"""When a party assumes it is entitled to every vote within a certain demographic, it will treat even the slightest sign of defection as an emergency, and that's what you're seeing in Democratic circles when it comes to black men defecting to the right,"" Squires wrote last fall.",1,2,babe
"Police made scores of arrests at Friday's massive demonstration in Brooklyn, loading cuffed protesters onto city buses lined up on Atlantic Avenue, shutting down a major thoroughfare.",2,0,babe
Nike pledges $40 million to support black community after George Floyd's death.,3,0,babe
"Last week, black transgender woman Iyanna Dior was beaten by a mob at a gas station in Minneapolis, and video of the attack has gone viral online with millions of viewers.",3,0,babe
"But even if there was a president in the Oval Office who took the issue seriously, there's still a do-nothing Senate to contend with.",4,2,babe
"The ""complicated reality,"" Charen observes, is that ""it is not Biden's fault that so many people want to come to the United States.""",3,1,babe
"The Virginia Senate late on Thursday passed bills to require background checks on all firearms sales, limit handgun purchases to one a month, and restore local governments' right to ban weapons from public buildings and other venues.",3,0,babe
"U.S. specialty healthcare benefits manager eviCore is exploring a sale of the company or an initial public offering, hoping for a valuation of more than $4 billion, including debt, people familiar with the matter said on Thursday.",2,0,babe
The FBI Makes a Bizarre Claim About Pro-Choice Terrorism,1,2,babe
"Take, for example, the four reliably liberal Supreme Court justices, all of whom believe it's OK to compel Americans to pay dues to political organizations they disagree with, to coerce them to say things they abhor, and to compel them to create things that undermine their principles.",0,2,babe
"And rather than falter or die of old age, the expansion has continued through Trump's first three years in office, giving him a trump card in the campaign to win a second term in November.",1,1,babe
"Former Vice President Al Gore turned up the rhetorical heat during a conference in Atlanta on Thursday, where he warned that climate change could bring about the end of civilization.",3,1,babe
"Rather than reducing federal subsidies to universities and placing the leftist institutions at the mercy of the free market, Obama wants to increase the amount students can borrow with interest from the government.",1,2,babe
"Ever since Democratic presidential candidate Sen. Elizabeth Warren (D-Mass.) revealed her plan to forgive student debt and make public universities free on Monday morning, the internet has been a carnival of bad faith, magical thinking and misinformation about the nature of college costs in the United States.",0,2,babe
"Nearly two-thirds of voters think President Donald Trump will be reelected in November, a CBS News poll released Sunday found. ",2,0,babe
The movement's hysteric leader proceeded to hush the crowd so the mayor's answer could be heard across the streets so they could vote him out next year if he bowed to their anarchic demands.,2,2,babe
"As voters around the country brace for the general election in November, lawmakers in different states have begun the process of introducing bills aimed at rolling back the rights of transgender people, previewing a major civil rights issue aimed at polarizing voters.",3,1,babe
"As most of us know, anti-Asian hate and anti-Asian crimes skyrocketed during the Trump years, including multiple incidents of elderly Asians being beaten and even killed, as well as the Atlanta mass murders of Asian women.",4,1,babe
"Further, the Trump Tax Cuts and Jobs Act also repealed the Obamacare individual mandate, which serves as a giant middle-class tax cut. ",3,1,babe
